Season,Episode Number,Episode Title,Total Deaths,Victims
Season 1,N/A,Matryoshka,11,"Queen Simone Lightbourne VI - Stabbed in the throat by Tai Sr. with a broken piece of glass.; Four Unnamed Male Sanctum Guards - Shot in the chest by Bellamy Blake with a pistol.; Two Unknown Flamekeepers - Killed by Sheidheda off-screen, mentioned. Three mentioned minus one previously counted.; Commander Malachi kom Sangedakru/Sheidheda I - Killed by his fourth flamekeeper off-screen, mentioned.; Tai Sr. - Burned at the stake by Russell Lightbourne VII.; Princess Clarke Griffin/Wanheda/Klark kom Skaikru - Heart stopped when she was injected by Gabriel Santiago with an unknown liquid. Revived."
Season 1,N/A,Ashes to Ashes,3,"Unnamed Male Sangedakru Spy - Shot in the back by Queen Nia with an arrow using a bow, shown in a flashback.; Echo Kom Azgedakru - Stabbed in the stomach by Ash/Echo with an arrow, shown in a flashback."
Season 1,N/A,Adjustment Protocol,5,"Jade - Mind wiped out by Russell Lightbourne VII off-screen.; Sierra - Mind wiped out by Russell Lightbourne VII off-screen.; Bryson - Mind wiped out by Russell Lightbourne VII off-screen.; Dr. Abigail ""Abby"" Griffin - Mind wiped out by Russell Lightbourne VII."
Season 1,N/A,The Blood of Sanctum,13,Five Unnamed Wonkru Warriors - Shot to death by unknown Sanctum guards with pistols.; Layla - Throat slashed by Tory with a knife.; Jasmine Mason VII - Floated into space by Clarke Griffin.; Miranda Mason IX - Floated into space by Clarke Griffin.; Caleb Mason VII - Floated into space by Clarke Griffin.; Two Unnamed Sanctum Guards - Floated into space by Clarke Griffin.; Queen Simone Lightbourne VII - Floated into space by Clarke Griffin.
Season 1,N/A,From the Ashes,6,"Priya Desai - Consciousness destroyed after her mind drive was smashed by Russell Lightbourne with his shackles.; Gaia’s Father - Died in an unspecified manner off-screen, mentioned.; Two Unnamed Male Disciples - Shot in the chest by Ash/Echo with a snipe rifle.; Unnamed Male Disciple - Shot in the head by Ash/Echo with a snipe rifle."
Season 1,N/A,The Garden,5,"Three Unknown People - Died when their transport ship crashed on Skyring off-screen, skeletons shown.; Dr. Colin Benson - Died in an unspecified manner off-screen, skeleton shown."
Season 1,N/A,False Gods,9,"James Crockett - Accidentally committed suicide by exposing himself to radiation while he was trying to fix the Nuclear Reactor.; Cora - Died of radiation poisoning after he was accidentally exposed to radiation by James Crockett while he was trying to fix the Nuclear Reactor.; Tobin - Beaten to death by Trey and unknown members of the Faithful.; Two Unknown Police Officers - Shot to death by Nikki off-screen, mentioned.; Three Unnamed Male Eligius Prisoners - Died of radiation poisoning after they were exposed to radiation while they were trying to fix the Nuclear Reactor."
Season 1,N/A,Hesperides,18,"Unnamed Female Disciple - Stabbed in the neck by Dev with a thrown knife, shown in a flashback.; Unnamed Male Disciple - Neck snapped by Dev, shown in a flashback.; Unnamed Male Disciple - Blown up by Dev when he triggered his grenade, shown in a flashback.; Dev - Bled to death after being stabbed through the back by an unknown disciple with a knife on the orders of Anders, shown in a flashback.; Unnamed Female Disciple - Stabbed in the neck by Hope Diyoza with her own knife.; Two Unnamed Male Disciples - Throat slashed by Ash/Echo with a knife.; Two Unnamed Male Disciples - Stabbed in the chest by Ash/Echo with a knife.; Orlando - Committed suicide by hanging himself off-screen, mentioned.; Seven Unnamed Male Disciples - Shot in the back by Raven Reyes with an energy weapon."
Season 1,N/A,Welcome to Bardo,8,"Klara - Committed suicide by burning herself with gasoline.; Unnamed Male Disciple - Throat slashed by Hope Diyoza with a knife.; Unnamed Female Disciple - Throat slashed by Hope Diyoza with a knife.; Unnamed Male Disciple - Stabbed in the chest by Hope Diyoza with a knife.; Two Unknown Disciples - Stabbed to death by Bellamy Blake with a knife off-screen, bodies shown in a flashback.; Unnamed Male Disciple - Committed suicide by blowing himself up with a sonic grenade while he was trying to kill Bellamy Blake, shown in a flashback."
Season 1,N/A,Nakara,6,"Unnamed Male Disciple - Bled to death after being bitten on the neck by Charmaine Diyoza.; Unknown Person - Died in an unspecified manner off-screen, body shown.; Unnamed Male Disciple - Throat slashed by Charmaine Diyoza with a knife.; Unnamed Male Disciple - Stabbed in the chest by Charmaine Diyoza with a knife.; Scar - Stabbed in the neck by Charmaine Diyoza with a knife."
Season 1,N/A,The Queen's Gambit,3,"Both of Madi Griffin’s Parents - Incinerated by the death wave off-screen, implied."
Season 1,N/A,Anaconda,25,"20 Unknown Second Dawn Bunker Inhabitants - Committed suicide in an unspecified manner off-screen over six months, mentioned in a flashback.; Tristan - Died in an unspecified manner off-screen.; August - Died in an unspecified manner off-screen.; Grace Cadogan - Died in an unspecified manner off-screen.; Reese Cadogan - Died in an unspecified manner off-screen."
Season 1,N/A,The Flock,33,"Unnamed Male Child of Gabriel - Shot in the chest by Penn with an assault rifle.; Unnamed Male Eligius Prisoner - Shot in the chest by an unknown Wonkru warrior with an assault rifle.; Unnamed Male Child of Gabriel - Shot in the chest by an unknown Wonkru warrior with an assault rifle.; Zev - Stabbed to death by Sheidheda with a candlestick off-camera, body shown.; Alyssa - Stabbed to death by Sheidheda with a candlestick off-camera, body shown.; Both of Luca’s Parents - Stabbed to death by Sheidheda with a candlestick off-camera, bodies shown."
Season 1,N/A,A Little Sacrifice,7,"Unnamed Female Disciple - Stabbed through the back of the head by Ash/Echo with a knife.; Gabriel Santiago’s Mother - Died in an unspecified manner off-screen, implied.; Gabriel Santiago’s Grandmother - Died in an unspecified manner off-screen, implied.; Two Unknown Disciples - Killed by Ash/Echo in an unspecified manner off-screen, mentioned.; Anders - Throat slashed by Hope Diyoza with a knife."
Season 1,N/A,Etherea,1,None listed
Season 1,N/A,The Stranger,22,21 Unnamed Children of Gabriel - Shot to death by Sheidheda with a rifle.
Season 1,N/A,Blood Giant,24,Eight Unnamed Wonkru Warriors - Shot to death by unknown disciples with ray guns on the orders of Bill Cadogan.; Otis - Shot in the chest by an unknown disciple with a ray gun on the orders of Bill Cadogan.; Two Unnamed Male Wonkru Warriors - Devoured by Sanctum bugs because of Emori.; Knight - Devoured by Sanctum bugs because of Emori.; Musgrave - Stabbed in the back by Hull with a knife while being under the influence of the red sun toxin.; Hull - Stabbed in the neck by Indra with a knife.; Unnamed Male Disciple - Chest slashed by Indra with a knife.; Unnamed Male Disciple - Neck snapped by Indra.; Unnamed Male Disciple - Decapitated by Indra with a sword.; A.L.I.E. 2.0/Spirit of the Commander - Shot and destroyed by Gabriel Santiago with a pistol.; Dr. Becca Franko/Bekka Pramheda - Consciousness destroyed after Gabriel Santiago destroyed A.L.I.E. 2.0.; Commander Lexa kom Trikru - Consciousness destroyed after Gabriel Santiago destroyed A.L.I.E. 2.0.; Doucette - Shot in the chest by Clarke Griffin with a pistol.; Unnamed Male Disciple - Shot in the chest by Clarke Griffin with a pistol.; Bellamy Blake - Shot in the chest by Clarke Griffin with a pistol.
Season 1,N/A,A Sort of Homecoming,2,"Unnamed Male Disciple - Head smashed by Gaia with a pipe, shown in a flashback."
Season 1,N/A,The Dying of the Light,15,Two Unnamed Male Disciples - Shot in the chest by Sheidheda with a rifle orchestrated by Clarke Griffin.; Unnamed Male Disciple - Shot to death by unknown disciples with rifles after being used as a shield by Sheidheda orchestrated by Clarke Griffin.
Season 1,N/A,The Last War,30,"Four Unnamed Male Disciples - Blown up by Clarke Griffin with two sonic grenades.; Seven Unnamed Male Disciples - Shot in the chest and head by Clarke Griffin with two pistols.; Unnamed Female Disciple - Shot in the chest by Clarke Griffin with a pistol.; William ""Bill"" Cadogan/The Shephard - Shot through the back of the head by Clarke Griffin with a pistol.; Emori - Died of her injuries after being impaled on a rubble when the second dawn bunker was blown up by an unknown disciple on the orders of Bill Cadogan. Reborn after she transcended.; Unnamed Female Wonkru Warrior - Shot in the chest by an unknown disciple with a rifle orchestrated by Sheidheda.; Two Unnamed Male Wonkru Warriors - Shot in the chest by unknown disciples with a rifles orchestrated by Sheidheda.; 12 Unnamed Disciples - Shot to death by unknown wonkru warriors and unknown eligiius prisoners with assault rifles orchestrated by Sheidheda."
Season 1,N/A,By Season,0,None listed
Season 1,N/A,Season 1,2460,"2,453 Humans 2,357 Victims of Unknown Gender 77 Men 18 Women; 2,357 Victims of Unknown Gender; 77 Men; 18 Women; 7 Animals 4 Rabbits 1 Black Panther 1 Fish 1 Animal of Unknown Species; 4 Rabbits; 1 Black Panther; 1 Fish; 1 Animal of Unknown Species"
Season 1,N/A,Season 2,832,824 Humans 350 Victims of Unknown Gender 284 Men 190 Women; 350 Victims of Unknown Gender; 284 Men; 190 Women; 7 Animals 3 Pigs 1 Moose 1 Deer 1 Wild Boar 1 Horse; 3 Pigs; 1 Moose; 1 Deer; 1 Wild Boar; 1 Horse; 1 Insect All Cockroaches; All Cockroaches
Season 1,N/A,Season 3,11000000594,"11,000,000,583 Humans 11,000,000,491 Victims of Unknown Gender 73 Men 19 Women; 11,000,000,491 Victims of Unknown Gender; 73 Men; 19 Women; 10 Animals 6 Fish 2 Animals of Unknown Species 1 Black Panther 1 Rabbit; 6 Fish; 2 Animals of Unknown Species; 1 Black Panther; 1 Rabbit; 1 Artificial Intelligence All Women; All Women"
Season 1,N/A,Season 4,530,528 Humans 443 Victims of Unknown Gender 70 Men 15 Women; 443 Victims of Unknown Gender; 70 Men; 15 Women; 2 Animals 1 Horses 1 Mutated Gorilla; 1 Horses; 1 Mutated Gorilla
Season 1,N/A,Season 5,1558,"1,551 Humans 1,447 Victims of Unknown Gender 88 Men 15 Women; 1,447 Victims of Unknown Gender; 88 Men; 15 Women; 4 Animals 3 Fish 1 Eagle; 3 Fish; 1 Eagle; 3 Insects All Insects of Unknown Species; All Insects of Unknown Species"
Season 1,N/A,Season 6,213,75 Men; 70 Victims of Unknown Gender; 68 Women
Season 1,N/A,Season 7,214,212 Humans 109 Victims of Unknown Gender 84 Men 19 Women; 109 Victims of Unknown Gender; 84 Men; 19 Women; 1 Insect All Insects of Unknown Species; All Insects of Unknown Species; 1 Artificial Intelligence All Women; All Women
Season 1,N/A,Overall,0,None listed
Season 1,N/A,Animals,30,9 Fish; 5 Rabbits; 3 Animals of Unknown Species; 3 Pigs; 2 Black Panthers; 2 Horses; 1 Fish; 1 Moose; 1 Wild Boar; 1 Deer; 1 Mutated Gorilla; 1 Eagle
Season 1,N/A,Azgeda Clan,40,34 Men; 6 Women
Season 1,N/A,A.L.I.E.'s Cult,45,44 Humans 33 Men 6 Victims of Unknown Gender 5 Women; 33 Men; 6 Victims of Unknown Gender; 5 Women; 1 Artificial Intelligence All Women; All Women
Season 1,N/A,Civilians,11000000147,"11,000,000,106 Victims of Unknown Gender; 19 Men; 19 Women"
Season 1,N/A,Children of Gabriel,43,22 Victims of Unknown Gender; 18 Men; 3 Women
Season 1,N/A,Disciples,90,56 Men; 28 Victims of Unknown Gender; 6 Women
Season 1,N/A,Eligius Prisoners,357,312 Victims of Unknown Gender; 44 Men; 3 Women
Season 1,N/A,Floukru Clan,54,46 Victims of Unknown Gender; 5 Men; 3 Women
Season 1,N/A,Insects,5,4 Insects of Unknown Species; 1 Cockroaches
Season 1,N/A,Louwoda Kliron Kru,29,23 Victims of Unknown Gender; 4 Men; 2 Women
Season 1,N/A,Mountain Men,489,77 Victims of Unknown Gender; 232 Men; 180 Women
Season 1,N/A,Nomadic Grounders,11,4 Victims of Unknown Gender; 4 Men; 3 Women
Season 1,N/A,Sky People,3117,"2,963 Victims of Unknown Gender; 115 Men; 39 Women"
Season 1,N/A,Sangedakru Clan,7,All Men
Season 1,N/A,Trikru Clan,711,637 Victims of Unknown Gender; 66 Men; 9 Women
Season 1,N/A,The Primes,94,55 Women; 39 Men
Season 1,N/A,Trishanakru Clan,8,6 Men; 2 Women
Season 1,N/A,Wonkru Clan,1124,"1,095 Victims of Unknown Gender; 24 Men; 5 Women"
Season 1,N/A,Unknown Groups,216,167 Victims of Unknown Gender; 44 Men; 5 Women
Season 1,N/A,General,9,"Every person that died in section 17 will be counted as a proxy kill towards Bellamy Blake since he is the reason that they died.; After the pilot episode, Kelly Hu who portrays Callie Cartwig was forced to leave the show due to budget restraints , so in-universe it was implied that she had died to explain her disappearance.; Even if Finn wasn't an antagonist it will be listed in bold and italics since he killed innocent villagers who includes children and elderly people who were unarmed.; All of the 250 Grounders and sky people that died during the missile attack will be counted as kills towards Clarke and Lexa since they known about the attack but they refused to warn them.; Here are several reasons why Steve Talley didn't return for season three of The 100 Steve Talley who portrays Kyle Wick was forced to leave the show because of several rumors about him .; All of the kills that were committed by the Azgeda warriors will be proxy kills towards Queen Nia, since she is the ruler of the Azgeda clan and most likely she is giving the orders to her warriors.; All of the people that died in the nuclear apocalypse will be proxy kill towards Becca Franko since she is the one who created A.L.I.E.; All of the people killed by A.L.I.E.'s drones will be counted as proxy kills towards A.L.I.E. since she is the one who programmed  them to kill everyone who enters Becca's island.; When a person transcended will not be counted as a death since they don’t actually die, their consciousness became a part of the universe, exiting beyond their human form, and they don’t feel any pain and they will never die."
Season 1,N/A,By Group,0,None listed
Season 1,N/A,The Trikru Clan,1,The Tondc Villagers will be listed in the group deaths section at the Trikru clan since they are apart of them.
Season 1,N/A,Season 1,3,In Episode “Earth Skills” Atom mentioned that the guy who Octavia took to the dropship was arrested for murder but it is not mentioned how many people he killed so none of them will be counted.; In Episode “Unity Day” Anya mentioned that the flares launched by the delinquents burned a village but it is not said how many grounders died so none of them will be counted.; For the episode “We Are Grounders: Part 2” i used this video to have an approximate number for how many people died when their station exploded and crashed while re-entering the earth's atmosphere.
Season 1,N/A,Season 2,3,"In episode ""Survival of the Fittest"" it is shown in Pauna’s lair several human and animals remains but since it is nearly impossible to tell how many they are none of them will be counted.; In episode ""Blood Must Have Blood: Part 1"" Lexa and her guards killed several of Cage's shooters off-screen but since it is not shown how many she killed or mentioned none of them will be counted.; In Episode ""Blood Must Have Blood: Part 2"" it is mentioned that several mount weather guards and sky people killed each other but it is not said of how many that includes so only Sargent Langston will be counted."
Season 1,N/A,Season 3,1,"It episode ""Thirteen"" it was shown in a flashback that the thirteen station was blown up and every crew member died but it is not shown or mentioned of how many crew members died so only Peri and Cole will be counted."
Season 1,N/A,Season 4,4,"In episode “The Four Horsemen” it is mentioned that several fish died from the acute radiation sickness but the exact number it is not said so none of them will be counted.; In episode “The Four Horsemen” it is shown in the Second Dawn bunker hundreds of human skeletons but since it is nearly impossible to tell how many they were none of them will be counted.; In episode ""God Complex"" at the end of the episode we hear the Azgeda warriors, and Trikru warriors fighting each other but since we don't actually see the fight it is impossible to say how many died so none of them will be counted.; In episode ""Praimfaya"" it is not mentioned or shown the exact number of how many people actually died in the second nuclear apocalypse so none of them will be counted."
Season 1,N/A,Season 5,2,In episode “Pandora's Box” it is mentioned that Charmaine Diyoza killed hundreds of people in the bombing but the exact number it is not said so none of them will be counted.; In episode “How We Get to Peace” it is mentioned that Michael Vinson killed several people and kept their heads and feet as mementos but the exact number it is not said so none of them will be counted.
Season 1,N/A,Season 6,3,"In Episode ""Sanctum"" it is shown hundreds of bugs getting vaporized by a radiation shield but since it is nearly impossible to tell how many they were, none of them will be counted.; In Episode ""What You Take With You"" it is shown that Octavia Blake is killed her evil self Blodreina but this will not be counted because it is not real it was just an hallucination.; In episode “The Blood of Sanctum” is mentioned that Sheidheda killed hundreds of villagers and their families but the exact number it is not said so none of them will be counted."
Season 1,N/A,Season 7,1,In episode “False Gods” it is mentioned that Hutch and Nikki killed several hostages during a bank robber but the exact number it is not said so none of them will be counted.
